course_name,degree_type,uni_name
Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,Barber & Beauty Institute of New York
"Computer and Information Sciences, General.",Bachelors Degree,Texas A&M University-Central Texas
Information Science/Studies.,Master's Degree,Texas A&M University-Central Texas
Curriculum and Instruction.,Master's Degree,Texas A&M University-Central Texas
Educational Administration and Supervision.,Master's Degree,Texas A&M University-Central Texas
Student Counseling and Personnel Services.,Master's Degree,Texas A&M University-Central Texas
"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,Texas A&M University-Central Texas
"English Language and Literature, General.",Bachelors Degree,Texas A&M University-Central Texas
"Liberal Arts and Sciences, General Studies and Humanities.",Bachelors Degree,Texas A&M University-Central Texas
"Liberal Arts and Sciences, General Studies and Humanities.",Master's Degree,Texas A&M University-Central Texas
Mathematics.,Bachelors Degree,Texas A&M University-Central Texas
Mathematics.,Master's Degree,Texas A&M University-Central Texas
"Multi/Interdisciplinary Studies, Other.",Bachelors Degree,Texas A&M University-Central Texas
"Psychology, General.",Bachelors Degree,Texas A&M University-Central Texas
"Clinical, Counseling and Applied Psychology.",Master's Degree,Texas A&M University-Central Texas
Criminal Justice and Corrections.,Bachelors Degree,Texas A&M University-Central Texas
Criminal Justice and Corrections.,Master's Degree,Texas A&M University-Central Texas
Social Work.,Bachelors Degree,Texas A&M University-Central Texas
Economics.,Bachelors Degree,Texas A&M University-Central Texas
Political Science and Government.,Bachelors Degree,Texas A&M University-Central Texas
Political Science and Government.,Master's Degree,Texas A&M University-Central Texas
Sociology.,Bachelors Degree,Texas A&M University-Central Texas
Air Transportation.,Bachelors Degree,Texas A&M University-Central Texas
Mental and Social Health Services and Allied Professions.,Master's Degree,Texas A&M University-Central Texas
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelors Degree,Texas A&M University-Central Texas
"Business/Commerce, General.",Bachelors Degree,Texas A&M University-Central Texas
"Business Administration, Management and Operations.",Bachelors Degree,Texas A&M University-Central Texas
"Business Administration, Management and Operations.",Master's Degree,Texas A&M University-Central Texas
Accounting and Related Services.,Bachelors Degree,Texas A&M University-Central Texas
Accounting and Related Services.,Master's Degree,Texas A&M University-Central Texas
Finance and Financial Management Services.,Bachelors Degree,Texas A&M University-Central Texas
Human Resources Management and Services.,Bachelors Degree,Texas A&M University-Central Texas
Human Resources Management and Services.,Master's Degree,Texas A&M University-Central Texas
Management Information Systems and Services.,Bachelors Degree,Texas A&M University-Central Texas
Marketing.,Bachelors Degree,Texas A&M University-Central Texas
History.,Bachelors Degree,Texas A&M University-Central Texas
History.,Master's Degree,Texas A&M University-Central Texas
"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,Emory University-Oxford College
Health and Physical Education/Fitness.,Undergraduate Certificate or Diploma,Southern California Health Institute
Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,Southern California Health Institute
Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,Southern California Health Institute
Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,Southern California Health Institute
Architecture.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Architecture.,Master's Degree,Georgia Institute of Technology-Main Campus
Architecture.,Doctoral Degree,Georgia Institute of Technology-Main Campus
"City/Urban, Community and Regional Planning.",Master's Degree,Georgia Institute of Technology-Main Campus
"City/Urban, Community and Regional Planning.",Doctoral Degree,Georgia Institute of Technology-Main Campus
Environmental Design.,Master's Degree,Georgia Institute of Technology-Main Campus
Architectural Sciences and Technology.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Architectural Sciences and Technology.,Master's Degree,Georgia Institute of Technology-Main Campus
Architectural Sciences and Technology.,Doctoral Degree,Georgia Institute of Technology-Main Campus
"Radio, Television, and Digital Communication.",Bachelors Degree,Georgia Institute of Technology-Main Campus
"Radio, Television, and Digital Communication.",Master's Degree,Georgia Institute of Technology-Main Campus
"Radio, Television, and Digital Communication.",Doctoral Degree,Georgia Institute of Technology-Main Campus
"Computer and Information Sciences, General.",Bachelors Degree,Georgia Institute of Technology-Main Campus
"Computer and Information Sciences, General.",Master's Degree,Georgia Institute of Technology-Main Campus
"Computer and Information Sciences, General.",Doctoral Degree,Georgia Institute of Technology-Main Campus
Information Science/Studies.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Computer Science.,Master's Degree,Georgia Institute of Technology-Main Campus
Computer Science.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Computer/Information Technology Administration and Management.,Master's Degree,Georgia Institute of Technology-Main Campus
"Aerospace, Aeronautical and Astronautical Engineering.",Bachelors Degree,Georgia Institute of Technology-Main Campus
"Aerospace, Aeronautical and Astronautical Engineering.",Master's Degree,Georgia Institute of Technology-Main Campus
"Aerospace, Aeronautical and Astronautical Engineering.",Doctoral Degree,Georgia Institute of Technology-Main Campus
Biomedical/Medical Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Biomedical/Medical Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Biomedical/Medical Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Chemical Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Chemical Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Chemical Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Civil Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Civil Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Civil Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Computer Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
"Electrical, Electronics and Communications Engineering.",Bachelors Degree,Georgia Institute of Technology-Main Campus
"Electrical, Electronics and Communications Engineering.",Master's Degree,Georgia Institute of Technology-Main Campus
"Electrical, Electronics and Communications Engineering.",Doctoral Degree,Georgia Institute of Technology-Main Campus
Engineering Mechanics.,Master's Degree,Georgia Institute of Technology-Main Campus
Environmental/Environmental Health Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Environmental/Environmental Health Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Environmental/Environmental Health Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Materials Engineering,Bachelors Degree,Georgia Institute of Technology-Main Campus
Materials Engineering,Master's Degree,Georgia Institute of Technology-Main Campus
Materials Engineering,Doctoral Degree,Georgia Institute of Technology-Main Campus
Mechanical Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Mechanical Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Mechanical Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Nuclear Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Nuclear Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Nuclear Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Systems Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Textile Sciences and Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Textile Sciences and Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Industrial Engineering.,Bachelors Degree,Georgia Institute of Technology-Main Campus
Industrial Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Industrial Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Operations Research.,Master's Degree,Georgia Institute of Technology-Main Campus
Operations Research.,Doctoral Degree,Georgia Institute of Technology-Main Campus
Paper Science and Engineering.,Master's Degree,Georgia Institute of Technology-Main Campus
Paper Science and Engineering.,Doctoral Degree,Georgia Institute of Technology-Main Campus
